PROD_DATE,WELL_NAME,ON_STREAM_HRS,BOTTOMHOLE_FLOWING_PRESSURE (PSI),DOWNHOLE_TEMPERATURE (deg F),ANNULUS_PRESS (PSI),CHOKE_SIZE (%),WELL_HEAD_PRESSURE (PSI),WELL_HEAD_TEMPERATURE (deg F),CUMULATIVE_OIL_PROD (STB),CUMULATIVE_FORMATION_GAS_PROD (MSCF),CUMULATIVE_TOTAL_GAS_PROD (MSCF),CUMULATIVE_WATER_PROD (BBL),DAILY_OIL_PROD,DAILY_GAS_PROD,DAILY_WATER_PROD,GOR,WATER_CUT,DAYS_ON_PROD
2014-02-15,Well_#1,0.0,4050,189.866,0.0,1.17951,482.46,50.864,0,0,0,0,,,,0.0,0.0,0
2014-02-16,Well_#1,0.0,3961,189.945,0.0,2.9944,328.601,47.668,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1
2014-02-17,Well_#1,0.0,3961,190.004,0.0,1.90349,387.218,48.962,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2
2014-02-18,Well_#1,0.0,3964,190.02,0.0,0.0,308.98,46.636,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3
2014-02-19,Well_#1,0.0,3965,190.107,0.0,30.2076,196.057,47.297,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4
2014-02-20,Well_#1,0.0,3964,190.181,0.0,0.0,58.036,47.878,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5
2014-02-21,Well_#1,0.0,3972,189.939,0.0,39.99891,304.692,47.938,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6
2014-02-22,Well_#1,0.0,3978,189.609,0.0,0.0,453.734,49.351,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7
2014-02-23,Well_#1,0.0,3985,189.435,0.0,0.42376,667.13,49.351,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8
2014-02-24,Well_#1,0.0,4096,189.343,0.0,0.44066,440.036,49.316,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9
2014-02-25,Well_#1,0.0,3933,199.472,0.0,20.36006,1377.34,66.554,0,0,0,0,0.0,0.0,0.0,0.0,0.0,10
2014-02-26,Well_#1,12.0,3777,205.561,1049.64,42.04315,1557.76,82.885,631,636,852,0,631.0,636.0,0.0,1007.9239302694136,0.0,11
2014-02-27,Well_#1,24.0,3527,207.698,962.464,45.7525,1456.12,116.828,1798,1802,2518,0,1167.0,1166.0,0.0,999.1431019708655,0.0,12
2014-02-28,Well_#1,24.0,3430,208.071,998.02,46.30034,1375.62,120.235,3348,3362,4715,0,1550.0,1560.0,0.0,1006.4516129032259,0.0,13
2014-03-01,Well_#1,24.0,3335,208.24,977.291,47.07776,1271.45,122.467,4596,4614,6514,0,1248.0,1252.0,0.0,1003.2051282051282,0.0,14
2014-03-02,Well_#1,24.0,3226,208.374,985.493,48.34917,1261.95,124.217,5942,5969,8289,0,1346.0,1355.0,0.0,1006.6864784546806,0.0,15
2014-03-03,Well_#1,24.0,3142,208.377,971.198,48.78807,1202.41,126.017,7292,7337,10081,0,1350.0,1368.0,0.0,1013.3333333333334,0.0,16
2014-03-04,Well_#1,24.0,3067,208.357,970.844,49.2138,1092.62,127.378,8637,8694,11931,0,1345.0,1357.0,0.0,1008.9219330855019,0.0,17
2014-03-05,Well_#1,24.0,3037,208.268,1034.27,48.6105,1092.96,124.192,9917,9995,13696,0,1280.0,1301.0,0.0,1016.40625,0.0,18
2014-03-06,Well_#1,24.0,3045,208.111,1020.24,47.45899,1075.0,119.861,11142,11241,15436,0,1225.0,1246.0,0.0,1017.1428571428571,0.0,19
2014-03-07,Well_#1,24.0,3016,208.084,969.03,47.47047,1054.01,119.238,12355,12469,17176,0,1213.0,1228.0,0.0,1012.366034624897,0.0,20
2014-03-08,Well_#1,24.0,3020,207.985,1005.45,46.85459,1075.32,116.814,13429,13558,18718,0,1074.0,1089.0,0.0,1013.9664804469273,0.0,21
2014-03-09,Well_#1,24.0,3011,207.949,1036.84,46.72829,1074.47,116.637,14474,14599,20132,0,1045.0,1041.0,0.0,996.1722488038278,0.0,22
2014-03-10,Well_#1,24.0,3009,207.898,987.094,46.04211,1100.84,113.142,15444,15579,21520,0,970.0,980.0,0.0,1010.3092783505155,0.0,23
2014-03-11,Well_#1,24.0,2994,207.923,986.576,46.40482,1056.7,108.123,16390,16543,22900,0,946.0,964.0,0.0,1019.0274841437632,0.0,24
2014-03-12,Well_#1,24.0,2948,208.057,962.554,47.53541,1043.21,114.041,17393,17563,24309,0,1003.0,1020.0,0.0,1016.9491525423729,0.0,25
2014-03-13,Well_#1,24.0,2946,208.02,1022.89,46.48279,1012.64,111.873,18318,18512,25648,0,925.0,949.0,0.0,1025.945945945946,0.0,26
2014-03-14,Well_#1,24.0,2945,207.992,962.694,45.87804,1003.55,112.215,19232,19410,26935,0,914.0,898.0,0.0,982.4945295404814,0.0,27
2014-03-15,Well_#1,24.0,2950,207.764,1022.05,46.69035,1051.51,111.796,20176,19777,27463,0,944.0,367.0,0.0,388.771186440678,0.0,28
2014-03-16,Well_#1,24.0,2938,208.017,1023.26,46.06907,1018.87,112.763,21000,20605,28561,0,824.0,828.0,0.0,1004.8543689320388,0.0,29
2014-03-17,Well_#1,24.0,2950,207.91,1039.04,45.52558,1006.03,111.069,21769,21387,29586,0,769.0,782.0,0.0,1016.9050715214564,0.0,30
2014-03-18,Well_#1,24.0,2961,207.82,1045.25,44.94514,1005.84,107.157,22509,22141,30665,0,740.0,754.0,0.0,1018.918918918919,0.0,31
