WELL_NAME,Well_Number,Total_Oil_STB,Total_Oil_RB,Reservoir_FVF,Total_Gas_Prod,Total_Water_Prod,Avg_Daily_Oil,Max_Daily_Oil,Oil_Production_Decline,Avg_BHP,Max_BHP,Min_BHP,BHP_Variance,Avg_WHP,Avg_Annulus_Press,Avg_Downhole_Temp,Avg_Wellhead_Temp,Avg_Choke_Size,Choke_Variance,Avg_Onstream_Hours,Avg_GOR,GOR_Trend,Max_GOR,Avg_Water_Cut,Water_Cut_Trend,Max_Water_Cut,Avg_PI,PI_Trend,Max_PI,Production_Stability,Days_Produced,Production_Efficiency,Has_Annulus_Pressure,Pressure_Differential,Reservoir_Name
Well_#1,1,101659,116907.84999999999,1.15,105445,38698,498.328431372549,1550.0,0,2943.25,4096,2738,75309.00615763546,711.2149852941176,948.1618627450981,207.56274509803924,107.71649019607841,45.23427181372549,90.5016538720307,22.592745098039217,996.7106865195694,0,1148.0582524271845,28.80170409405369,1,72.08121827411168,0.7166642147092954,0,22.142857142857142,0.638816455566298,193,0.9413643790849674,1,-2232.0350147058825,MAKO
Well_#10,10,116279,168604.55,1.45,147319,17343,272.0257611241218,493.0,0,3995.653395784543,4051,3904,798.1847478312498,33.18488290398126,1044.9569344262295,208.24182435597191,92.86713348946137,86.06458709601873,799.8459067687373,21.11662763466042,1190.1145635423254,0,2112.5827814569534,12.551233294158793,0,25.0,-0.5484114548668156,1,-0.0,0.7158524975506166,401,0.8798594847775175,1,-3962.468512880562,KEMA
Well_#11,11,167307,229210.59000000003,1.37,188529,70288,488.3049853372434,1072.0,0,2427.369501466276,2521,2354,1296.2865965154392,135.46112903225807,832.3299941348973,143.12634897360704,73.96948973607037,86.2529104398827,812.121957402296,21.18108504398827,1053.6454261881995,0,1473.469387755102,28.281698665914497,0,57.30337078651685,0.45745802149208553,0,1.089430894308943,0.7145741869753551,318,0.8825452101661778,1,-2291.9083724340176,DEPU
Well_#12,12,578776,694531.2,1.2,392346,324335,750.6822308690013,1411.0,0,1996.7795071335927,2557,0,221329.67339767882,102.5407561608301,0.048952010376134884,149.17765499351492,77.48472892347601,37.038895265888456,128.96313944651612,21.60706874189365,640.1651015471057,0,943.3962264150944,26.449392440697146,0,75.25835866261397,0.5162917876103407,0,1.0491803278688525,0.7111805207975307,729,0.9002945309122353,1,-1894.2387509727625,ACHI
Well_#13,13,190635,228762.0,1.2,264037,38115,771.5101214574898,1122.0,0,1611.3684210526317,2246,1536,16930.49379546427,43.503364372469626,17.137303643724696,106.34977327935223,30.822170040485833,11.102099068825911,4.616868705327991,21.845344129554654,1309.3341865986401,0,2345.1327433628317,15.722226914221038,0,17.391304347826086,0.40367957590761494,0,0.7438619774386198,0.7521963229685185,233,0.9102226720647772,1,-1567.865056680162,ACHI
Well_#14,14,142421,195116.77000000002,1.37,60429,5323,773.2010869565217,1225.0,0,2406.733695652174,2857,2368,3004.283885721074,103.51054891304348,14.480489130434782,148.92638586956522,82.98744021739131,10.158424347826088,1.387974675931813,23.412336956521738,421.63712858517766,0,470.9236031927024,3.735162407994855,0,5.6417489421720735,0.7090966894432613,0,1.3449830890642616,0.8260887410249246,183,0.9755140398550725,1,-2303.2231467391307,DEPU
Well_#15,15,118382,136139.3,1.15,123256,115272,361.6177370030581,745.0,0,3139.795107033639,4032,2705,115713.02230727377,37.95086850152905,15.24737003058104,204.0217094801223,89.35029357798166,13.96176345565749,73.52352175832513,19.137584097859328,843.1575338189488,0,1440.881763527054,41.019548496417485,0,100.0,0.5581655553417286,0,21.95,0.6471066254232236,271,0.7973993374108054,1,-3101.84423853211,MAKO
Well_#16,16,67679,92720.23000000001,1.37,63386,24609,230.20068027210885,514.0,0,2542.2108843537417,3836,2457,14367.170393071903,129.18037755102043,17.622275510204084,202.29589115646257,91.62089795918368,9.815175918367347,12.48052463481878,22.512482993197278,927.8928672340528,0,1596.4912280701756,26.102711758327615,0,34.146341463414636,0.2426426332300966,0,0.6064516129032258,0.7765896523222939,290,0.9380201247165533,1,-2413.0305068027214,DEPU
Well_#17,17,280021,336025.2,1.2,263436,315759,639.5848623853211,966.0,0,1968.717889908257,2304,1544,49477.894943583255,84.91532339449543,757.1868509174312,156.74266743119267,85.92880963302751,80.88421621559633,855.7024308195624,23.76683486238532,945.0227521129883,0,1205.2505966587112,51.74676742142616,0,70.84,0.4363487351365429,0,0.7155555555555555,0.8132728141575135,435,0.9902847859327216,1,-1883.8025665137616,ACHI
Well_#18,18,205968,282176.16000000003,1.37,182166,180240,657.1570512820513,960.0,0,2216.3429487179487,2621,0,155250.68265108418,141.4251891025641,0.0,154.25809935897436,88.32196794871794,48.6234748076923,117.28072923713952,23.25923076923077,879.1786301807114,0,1230.769230769231,45.33856473131068,0,62.43478260869565,0.5256143518414687,0,0.7452978056426333,0.8201529136789316,310,0.9691346153846153,0,-2074.9177596153845,DEPU
Well_#19,19,120921,175335.44999999998,1.45,120080,57452,486.7206477732793,724.0,0,3876.8582995951415,4036,3635,3770.5367499423987,102.66088663967612,0.0,157.57726315789475,89.97704048582995,79.75320477732794,313.92456865608597,23.90927125506073,990.667172839197,0,1030.4878048780488,32.44167815375981,0,45.1505016722408,-1.3593066947330545,1,-0.0,0.8634124659527258,246,0.9962196356275305,0,-3774.1974129554656,KEMA
Well_#2,2,74524,85702.59999999999,1.15,44092,167577,156.03773584905662,941.0,0,3164.1215932914047,3735,2582,96966.0019907334,861.152174004193,0.0,202.14628511530398,99.67219077568133,24.60674752620545,691.0931519748464,10.81412997903564,283.95348945230126,0,663.4615384615385,32.9383514706462,0,96.23287671232876,0.4513454783138475,0,83.36363636363636,0.43098343056046606,228,0.450588749126485,0,-2302.9694192872116,MAKO
Well_#20,20,498126,682432.62,1.37,235416,524844,605.8304878048781,1385.0,0,2382.140243902439,2858,0,24074.267242919686,117.92884390243903,1039.6652426829269,149.7378475609756,85.8418268292683,86.62143423170733,564.0331442390584,22.497256097560975,446.2643802082834,0,750.0,52.45587585002249,0,79.59183673469387,0.5282713107959389,0,1.089693154996066,0.6762994510811938,806,0.9373856707317073,1,-2264.2114,DEPU
Well_#3,3,97536,117043.2,1.2,59711,4658,786.5806451612904,1272.0,0,2180.951612903226,2985,0,727431.1521111985,789.8012903225806,740.66675,133.07498387096774,59.22295161290323,7.436841370967742,16.30441018888347,17.13758064516129,494.7881006941666,0,666.6666666666666,3.5297370051298405,1,13.421052631578947,0.7572970748308591,0,1.1651119402985075,0.6191329821189226,100,0.7140658602150537,1,-1391.1503225806453,ACHI
Well_#4,4,385817,462980.39999999997,1.2,490147,257628,1327.5620689655173,2065.0,0,2132.8137931034485,2340,1955,3134.7195322753846,647.9131862068965,872.350648275862,148.6820724137931,87.51656551724138,21.90561082758621,52.812206310873364,23.34155172413793,1254.4559854616884,0,1487.6957494407159,38.95152024785423,0,61.096605744125334,0.9750017543446374,0,1.5393518518518519,0.7677809196435559,285,0.9725646551724138,1,-1484.9006068965518,ACHI
Well_#5,5,227930,273516.0,1.2,144011,735169,721.7388535031847,1360.0,0,2592.764331210191,2933,2344,18481.778148592824,425.25034394904463,27.606168789808915,158.22391082802548,80.30636624203822,96.09668372611465,236.12543447097735,23.441687898089175,629.2414773808533,0,739.1304347826086,75.56384737845866,0,90.99582587954681,0.7658211011652212,0,1.195079086115993,0.7015016710677281,310,0.9767369957537156,1,-2167.513987261146,ACHI
Well_#6,6,1129301,1298696.15,1.15,1458660,22395,-0.43051359516616317,5513.0,0,3097.7190332326286,3797,0,142542.10248136346,76.4597749244713,20.276811178247733,200.89784441087616,104.0746918429003,49.10664839879155,252.36047543458045,22.16977341389728,610.9313071364467,0,5824.324324324324,0.4017760854458799,0,61.434153068260166,-2.413849473092479,0,149.85,-9.783542188687072e-06,307,0.9237405589123866,1,-3021.2592583081573,MAKO
Well_#7,7,589385,707262.0,1.2,443873,1499262,1119.4847328244275,2740.0,0,3331.192748091603,3821,2990,30803.050731248084,316.0434122137405,1016.4229828244275,202.5366603053435,94.40957061068703,62.7942088740458,221.5776530887075,23.50843511450382,763.7253193901316,0,958.7628865979382,69.84482112757127,0,90.40564373897708,13.710899059813915,0,972.0,0.6467879572667345,522,0.9795181297709924,1,-3015.1493358778625,ACHI
Well_#8,8,298072,408358.64,1.37,318472,343280,799.1532258064516,1497.0,0,2516.3494623655915,2681,2340,4686.535228820682,70.15193817204302,756.7180752688172,143.18447043010755,91.53387903225806,79.76551895161292,882.9235506032805,20.872688172043013,978.4846716559064,0,1161.2903225806454,49.01983593100603,0,100.0,0.8191270195546683,0,1.6784492588369442,0.7000561190463275,340,0.8696953405017922,1,-2446.1975241935484,DEPU
Well_#9,9,247997,297596.39999999997,1.2,232583,604349,424.766323024055,1162.0,0,1887.6323024054982,2333,1325,90949.21396336451,87.08507216494846,765.0830085910653,156.75592611683848,85.25031786941581,77.78259975945018,960.9269078532442,23.68027491408935,952.5374881164807,0,1208.5308056872036,70.53135217530576,0,90.66265060240963,0.2971655750828637,0,0.9424168694241687,0.6595220504984038,581,0.9866781214203896,1,-1800.5472302405497,ACHI
